"Bill of Material for "
"On 07.06.2015 at 21:20:51"

"Comment","Pattern","Quantity","Components"

"742861210","SMD-0603","1","L3","SMD EMI Suppression Ferrite Bead WE-CBF HF, Z = 1000 Ohm"
"Battery","BAT-2","1","BT1","Multicell Battery"
"Cap Semi","1608[0603]","24","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24","Capacitor (Semiconductor SIM Model)"
"CSTCR4M00G15L99","CSTCR_G15L","1","X2","<b>Resonator</b><p>
Source: murata.co.jp"
"FC - 12M 32.768kHz crystal","FC-12M","1","X1","Epson FC - 12M"
"GPS Bee Seeedstudio","GPS bee","1","GPS",""
"GPS_ant_dummy","GPS_ant_dummy","1","GPS_antenna",""
"h","J1-0603","3","R19, R28, R29","Resistor"
"Header 2","HDR1X2","1","RX/TX","Header, 2-Pin"
"Header 2H","HDR1X2H","2","JP3V3, JP5V","Header, 2-Pin, Right Angle"
"Header 4","HDR1X4","1","PROG","Header, 4-Pin"
"Jack_6","Jack_6_socket","1","J1","4 pin 6 contact headphone jack 3.5mm"
"LTC2953IDD-1#PBF","LT-DD-12_V","1","U3","Push Button On / Off Controller with Voltage Monitoring, 12-pin SON (DD-12), -40 to 85 degC, Pb-Free"
"MAX1555EZK-T","MAXM-Z5-1_N","1","U2","Dual-Input USB/AC Adapter 1-Cell Li+ Battery Charger, 4.2 V Charger Voltage, 0.28 A DC Charging Current, 5-Pin SOT23 Package, Tape and Reel"
"micro USB","HIRO-ZX62D-AB-5P8_V","1","J2","USB 2.0 Standard Micro-USB Connector, Micro AB-Standard (Bottom Mount), 30 V AC, -30 to 85 degC, Right Angle, 5-Pin 7.5 x 5.6 x 2.8 mm SMD, RoHS, Reel"
"mounting hole","MOUNTING_HOLE","4","M1, M2, M3, M4",""
"MSP430F5529IPN","TI-PN80_N","1","U1","25 MHz Mixed Signal Microcontroller with 128 KB Flash, 8192 B SRAM and 63 GPIOs, -40 to 85 degC, 80-pin QFP (PN), Green (RoHS & no Sb/Br)"
"PCA9515DP","TSOP65P490X110-8N","1","U4","PCA9515 I2C logic level converter"
"Res3","J1-0603","28","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R17, R18, R20, R21, R22, R23, R24, R25, R26, R27, R110, R111, R112","Resistor"
"Seeed Studio Display Shield","Display shield","1","DISPLAY",""
"Should be 27R according to TI specs","J1-0603","1","R16","Resistor"
"Si7055","Si7050/3/4/5","1","Temp",""
"SRU2013-1R0Y","BOUR-SRU2013-2R2Y-2_V","1","L2","Power Inductor, 2.2 µH, 1.45 Irms Max(A), SMD"
"SRU2013-2R2Y","BOUR-SRU2013-2R2Y-2_V","1","L1","Power Inductor, 2.2 µH, 1.45 Irms Max(A), SMD"
"SST25VF064C-80-4I-S3AE","MCHP-SOIC-S3A8_M","1","U7","64 Mbit SPI Serial Flash, 2.7 to 3.6 V, 80 MHz, -40 to 85 degC, 8-pin SOIC (S3A8), Tube"
"SW-PB","SPST-2","1","S1","Switch"
"TLSU1008A(T04)","TOSH-0603LED_RED_V","1","DS1","LED, Red 0603 (1608) 63mCd"
"TPD2E001DRYR","DRY6","2","U5, U6","Low-Capacitance + / - 15 kV ESD-Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 6-pin SON (DRY), Green (RoHS & no Sb/Br)"
"TPS61240DRVT","DRV6-1600X1000TP","1","IC2","Boost Voltage Converter with 2.3 to 5.5 V Input and 5 V Output, 6-Pin SON (DRV), Green (RoHS & no Sb/Br)"
"TPS63001DRCR","DRC10-2400X1650TP","1","IC1","Buck-Boost Voltage Converter with 1.8 to 5.5 V Input and 3.3 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)"
"XBee ZigBee S2C surface mount","S2C XBEE","1","rf",""
